Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
693b498dcf9472272fbeddc1,Write project overview,https://trello.com/c/eaQB0iPg/98-write-project-overview,,Documentation (red),,2026-01-25T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b498e0118c472dfc22abb,Define non-functional requirements,https://trello.com/c/mNWjSjyg/100-define-non-functional-requirements,,Documentation (red),,2026-01-25T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b499dada3d43ab9841aed,Test CRUD operations,https://trello.com/c/ilKEviPq/125-test-crud-operations,,Testing (orange_light),,2026-03-06T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:38.662Z,693b3930b690303a28579c73,Testing,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b498ecab1589fb1829359,Define functional requirements,https://trello.com/c/BQXSz6Bx/99-define-functional-requirements,,Documentation (red),,2026-01-25T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b498e43384f1585537b51,Write ethical/GDPR section,https://trello.com/c/NTmvLy4o/101-write-ethical-gdpr-section,,Documentation (red),,2026-01-26T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:52.036Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b498fee3414e9c3a58f3d,Create research/literature review,https://trello.com/c/09A1GQiB/102-create-research-literature-review,,Documentation (red),,2026-01-28T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b4990bced639504da9354,Create architecture diagram,https://trello.com/c/bAbzQIyQ/104-create-architecture-diagram,,Frontend (blue),,2026-02-08T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b499ff61acb4030db15e7,Test rota generation manually,https://trello.com/c/fCMv78r2/129-test-rota-generation-manually,,Testing (orange_light),,2026-03-15T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:38.662Z,693b3930b690303a28579c73,Testing,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b499050a6000134cdd542,Create data models / ERD,https://trello.com/c/Lrc7cjZ6/105-create-data-models-erd,,Database (purple),,2026-02-09T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:52.036Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
693b4991468fe8e212fcbba6,Create workflow diagrams,https://trello.com/c/0zylN4qk/106-create-workflow-diagrams,,Frontend (blue),,2026-02-10T00:00:00.000Z,0,,0,0,0,0,2025-12-11T22:46:17.430Z,693b3930b690303a28579c6f,To Do,693b3930b690303a28579c74,ProjectReportKanbanTable,false,,false,
